appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
240,Counter-Strike: Source,50,9052fa60c496a1c03383b27687ec50f4bf0f0e10,True,"[2, 5]",,,User1,0.8,0.17687074829931973,,,,,,,Counter-Strike: Source,game,['Action'],"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing']","1 Nov, 2004",Valve,Valve,Counter-Strike: Source,65.88,108.17,466.97
400,Portal,276,cfa928ab4119dd137e50d728e8fe703e4e970aff,True,,,,User1,4.6,0.6,,,,,,,Portal,game,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Camera Comfort', 'Custom Volume Controls', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Includes level editor', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","10 Oct, 2007",Valve,Valve,Portal,3.12,5.25,10.3
400,Portal,276,cfa928ab4119dd137e50d728e8fe703e4e970aff,True,,,,User1,4.6,0.6,,,,,,,Portal,game,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Camera Comfort', 'Custom Volume Controls', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Includes level editor', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","10 Oct, 2007",Valve,Valve,Portal,3.12,5.25,10.3
550,Left 4 Dead 2,111,7d5a243f9500d2f8467312822f8af2a2928777ed,True,"[2, 5]",,,User1,1.8,0.0297029702970297,,,,,,,Left 4 Dead 2,game,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","16 Nov, 2009",Valve,Valve,Left 4 Dead 2,10.26,26.79,60.44
620,Portal 2,116,2e478fc6874d06ae5baf0d147f6f21203291aa02,True,,True,,User1,1.9,0.058823529411764705,,,,,,,Portal 2,game,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Workshop', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","18 Apr, 2011",Valve,Valve,Portal 2,8.58,13.73,22.4
71240,SEGA Bass Fishing,0,fac67362e11293a673158e6d3c8c67693816868f,True,,,,User1,0.0,0.0,,,,,,,SEGA Bass Fishing,game,"['Simulation', 'Sports']","['Single-player', 'Partial Controller Support', 'Family Sharing']","4 Mar, 2011",SEGA,SEGA,,,,
227300,Euro Truck Simulator 2,8653,adc18a4fc9adc0330144b76d61cbda68bb2394a0,True,,,,User1,144.2,0.16831683168316833,,,,,,,Euro Truck Simulator 2,game,"['Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","12 Oct, 2012",SCS Software,SCS Software,Euro Truck Simulator 2,48.82,107.05,427.0
13140,America's Army 3,0,caed133dcc23d5e0df57ecc9fcc1ca31e0ffb98e,True,,True,,User1,0.0,0.0,,,,,,,America's Army 3,game,['Action'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Cloud']","17 Jun, 2009",U.S. Army,U.S. Army,America's Army 3,0.0,0.0,512.3
203290,America's Army: Proving Grounds,4,f75fedb2e1c35742f9e8b907c33aaaa6bddea3f3,True,,,,User1,0.1,0.0,,,,,,,America's Army: Proving Grounds,game,"['Action', 'Free To Play']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']","29 Aug, 2013",U.S. Army,U.S. Army,America's Army: Proving Grounds,0.0,0.0,485.08
211500,RaceRoom Racing Experience ,26,1a0cf3ab26336c2cfec795f02b02802ddc200f48,,,,,User1,0.4,0.0,,,,,,,RaceRoom Racing Experience,game,"['Racing', 'Simulation', 'Sports', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","12 Feb, 2013",KW Studios,"KW Studios, RaceRoom Entertainment AG",RaceRoom Racing Experience,8.5,0.0,0.0
218230,PlanetSide 2,0,f09d788b57eccd48ad9a6d1ec0dbf0707db39612,,,,,User1,0.0,0.0,,,,,,,PlanetSide 2,game,"['Action', 'Massively Multiplayer', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Trading Cards', 'Steam Cloud']","20 Nov, 2012",Rogue Planet Games,Daybreak Game Company,PlanetSide 2,32.63,78.0,464.82
1083500,PlanetSide 2 - Test,0,4a048ec31eba8fb4ed19a1fd8a906041119d3523,,,,,User1,0.0,0.0,,,,,,,PlanetSide 2 - Test,game,"['Action', 'Free To Play', 'Massively Multiplayer']",['Multi-player'],"13 May, 2019",Rogue Planet Games,Daybreak Game Company,PlanetSide 2 - Test,,,
238260,Pinball Arcade,0,f75915d17b3449067f901c612d95c7286a5dfb83,True,,,,User1,0.0,0.0,,,,,,,Pinball Arcade,game,"['Free To Play', 'Simulation']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","4 Nov, 2013",FarSight Studios,FarSight Studios,,,,
223710,Cry of Fear,0,962637bf69fddc5466b042c748b6408d2901f25c,,,,,User1,0.0,0.0,,,,,,,Cry of Fear,game,"['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud', 'Valve Anti-Cheat enabled']","25 Apr, 2013",Team Psykskallar,Team Psykskallar,Cry of Fear,8.34,12.47,22.42
248570,Toribash,19,7642e8aaf8d97a5fca68d749ed5cdd548cbb6d35,True,,,,User1,0.3,0.018867924528301886,,,,,,,Toribash,game,"['Action', 'Indie', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Includes level editor']","16 May, 2014",Nabi Studios,"Nicalis, Inc.",Toribash,0.53,34.1,0.0
226980,Pinball FX2,0,9e5da0e389b3fa5228674089998b549b25189d78,True,,,,User1,0.0,0.0,,,,,,,,,[''],[''],,,,,,,
251570,7 Days to Die,1541,f6515dd177b2992aebcb563151fbe836a600f364,True,"[2, 5]",,,User1,25.7,0.6511627906976745,,,,,,,7 Days to Die,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","25 Jul, 2024",The Fun Pimps,The Fun Pimps Entertainment LLC,7 Days to Die,52.16,111.82,345.55
252950,Rocket League,9274,9ad6dd3d173523354385955b5fb2af87639c4163,True,,,,User1,154.6,0.7727272727272727,,,,,,,Rocket League®,game,"['Action', 'Indie', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","6 Jul, 2015",Psyonix LLC,Psyonix LLC,Rocket League®,,,
273110,Counter-Strike Nexon,0,f8de906498a0428e06b5e31450b40093e645abbe,True,"[1, 2, 5]",,,User1,0.0,0.0,,,,,,,Counter-Strike Nexon,game,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Free To Play']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'In-App Purchases']","7 Oct, 2014","Valve, NEXON",NEXON,,,,
282660,Easy eSports,597,38a313d2413d5c679dcf41e169cc4d815765d775,,,,,User1,10.0,0.0,,,,,,,Easy™ eSports,game,['Utilities'],"['Multi-player', 'Cross-Platform Multiplayer']","10 Sep, 2015",EasyAntiCheat Ltd,EasyAntiCheat Ltd,Easy™ eSports,,,
289500,UFO: Aftershock,0,322d635b83de8b20ae6cbfa19a3c8f3b1078fd75,,,,,User1,0.0,0.0,,,,,,,UFO: Aftershock,game,['Strategy'],"['Single-player', 'Steam Cloud', 'Family Sharing']","16 Apr, 2014",ALTAR Interactive,Fulqrum Publishing,UFO: Aftershock,47.95,51.5,77.5
301520,Robocraft,4,25b4f8bc206a7768638974d991b12d3943729d49,True,,,,User1,0.1,0.0,,,,,,,Robocraft,game,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Family Sharing']","24 Aug, 2017",Freejam,Freejam,Robocraft,58.13,194.83,0.0
291480,Warface: Clutch,22,66ef308279871d99ca776d4602bf02a354570368,True,"[2, 5]",,,User1,0.4,0.0,,,,,,,Warface: Clutch,game,"['Action', 'Massively Multiplayer', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","1 Jul, 2014",MY.GAMES,MY.GAMES,Warface: Clutch,0.0,0.0,0.0
312990,The Expendabros,0,63305a7d0473b92c6d8830a3f62527e64c479e7c,,,,,User1,0.0,0.0,,,,,,,The Expendabros,game,"['Action', 'Adventure', 'Indie', 'Free To Play']","['Single-player', 'Multi-player', 'Shared/Split Screen', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","5 Aug, 2014",Free Lives,Devolver Digital,The Expendabros,1.07,1.24,1.26
227940,Heroes & Generals,46,64f09c15e558464a40ced00a9ef35ed13542e144,,,,,User1,0.8,0.0,,,,,,,Heroes & Generals,game,"['Action', 'Free To Play', 'Indie', 'Massively Multiplayer', 'Strategy']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Stats', 'Family Sharing']","18 Oct, 2016",TLM Partners,TLM Partners,Heroes & Generals,300.0,0.0,0.0
203160,Tomb Raider,1062,3ee640a8aba6992678e36f4e40cba9c71c02348b,True,,,,User1,17.7,0.2,,,,,,,Tomb Raider,game,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","4 Mar, 2013","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",Tomb Raider,11.33,15.46,20.89
730,Counter-Strike 2,39683,8dbc71957312bbd3baea65848b545be9eae2a355,True,"[2, 5]",,708.0,User1,661.4,1.0,,,,,,,Counter-Strike 2,game,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","15 Sep, 2017",Valve,Valve,Counter-Strike 2,118.17,355.34,761.87
341800,Keep Talking and Nobody Explodes,5,1d0a322b0184faa755ad99af803dfd7e14add30f,True,,True,,User1,0.1,0.0,,,,,,,Keep Talking and Nobody Explodes,game,['Indie'],"['Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'VR Support', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","8 Oct, 2015",Steel Crate Games,Steel Crate Games,Keep Talking and Nobody Explodes,5.17,6.07,14.07
356280,Desert Law,0,9513e97a23b98d0f09dd1fdd2ca5c3ded956d6c8,,,,,User1,0.0,0.0,,,,,,,Desert Law,game,"['RPG', 'Strategy']","['Single-player', 'Steam Cloud', 'Family Sharing']","25 Mar, 2015",Arise,Fulqrum Publishing,Desert Law,5.0,8.0,9.0
365670,Blender,5,48733cd333eea6e40711a1b9c6dde32ffe363ced,,,,,User1,0.1,0.0,,,,,,,Blender,game,"['Animation & Modeling', 'Design & Illustration', 'Video Production']",[''],"24 Apr, 2015",Blender Foundation,Blender Foundation,,,,
257400,Fuse,2,d3e719b6963163bffeb607483207a8f9510b85ac,,,,,User1,0.0,0.0,,,,,,,Fuse,game,"['Animation & Modeling', 'Design & Illustration', 'Utilities', 'Video Production']",[''],"28 Mar, 2014",Mixamo,Mixamo,Fuse,8.47,10.84,13.87
378860,Project CARS 2,258,cd55d51de2df3a45757aca93b84112576f5b0db3,True,,,,User1,4.3,0.06382978723404255,,,,,,,Project CARS 2,game,['Racing'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'VR Supported', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","21 Sep, 2017",Slightly Mad Studios,BANDAI NAMCO Entertainment,,,,
381210,Dead by Daylight,3101,aa152097a700fd6f4707397ce41794ea30874790,True,"[2, 5]",,,User1,51.7,0.0967741935483871,,,,,,,Dead by Daylight,game,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Dead by Daylight,76.31,342.85,733.24
390670,Steel Ocean,21,f15f282f9298bad0591de05098e567e80affa419,True,,,,User1,0.4,0.0,,,,,,,Steel Ocean,game,"['Free To Play', 'Massively Multiplayer', 'Simulation']","['Multi-player', 'MMO', 'Co-op', 'Family Sharing']","12 Nov, 2015",Changyou.com Limited,Changyou.com Limited,Steel Ocean,0.0,0.0,0.0
394740,Battleline: Steel Warfare,0,3444a3f1dc0b5f44797a54a1b139237554db58ac,True,,,,User1,0.0,0.0,,,,,,,,,[''],[''],,,,,,,
397900,Business Tour - Online Multiplayer Board Game,378,b6ce52a576e99f54c5d18f675540b9c3ee70ed47,True,,,,User1,6.3,0.0,,,,,,,Business Tour - Board Game with Online Multiplayer,game,"['Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","27 Jul, 2017",8Floor,8Floor,Business Tour - Board Game with Online Multiplayer,,,
359550,Tom Clancy's Rainbow Six® Siege X,27158,624745d333ac54aedb1ee911013e2edb7722550e,,[5],,,User1,452.6,0.0,,,,,,,Tom Clancy's Rainbow Six® Siege X,game,"['Action', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","1 Dec, 2015",Ubisoft Montreal,Ubisoft,Tom Clancy's Rainbow Six® Siege X,,,
623990,Tom Clancy's Rainbow Six Siege - Test Server,515,20deaf466474f76f2ffdb345fe56f40fe3af74c0,,,,,User1,8.6,0.0,,,,,,,,,[''],[''],,,,,,,
438100,VRChat,24,52c5f93bd9f8de008307f5fad95023600267462c,,,,,User1,0.4,0.0,,,,,,,VRChat,game,"['Adventure', 'Casual', 'Massively Multiplayer', 'Simulation', 'Sports', 'Free To Play', 'Early Access']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'In-App Purchases']","1 Feb, 2017",VRChat Inc.,VRChat Inc.,VRChat,95.4,131.49,389.86
